"-- Please Select --","-- Votre choix --"
"* Required Fields","* Champs obligatoires"
"Product Image Watermarks","Filigranes des images produit"
"Profiler","Profiler"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Resource is not set","La ressource n'est pas configurée"
"Root Category","Catégorie racine"
"Sales representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Sender email","Mail de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie management","Gestion des cookies de session"
"Session files directory","Répertoire des fichiers de session"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Skin directory","Répertoire de l'habillage"
"Small Image","Petite image - "
"SMTP settings (Windows server only)","Paramètres SMTP (serveur Windows seulement)"
"Sort order","Ordre de tri"
"Start date can\'t be greater than end date","La date de début ne peut pas être postérieure à la date de fin"
"Status","Statut"
"Store","Magasin"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Store Email Addresses","Adresses mail du magasin"
"Store Information","Informations magasin"
"Store Name","Nom du magasin"
"Store not exists","Le magasin n'existe pas"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store View not exists","La vue magasin n'existe pas"
"Store View was successfully deleted.","La vue magasin a bien été effacée"
"Store View was successfully saved","La vue magasin a bien été sauvegardée"
"Store was successfully deleted.","Le magasin a bien été supprimé"
"Store was successfully saved","Le magasin a bien été sauvegardé"
"Store with the same code","Magasin avec le même code"
"Stores","Magasins"
"Submit","Envoyer"
"System","Système"
"Target path for specified store","Chemin cible pour les magasins spécifiés"
"Telephone","Téléphone"
"Template Path Hints","Astuce chemin des gabarits"
"Templates","Gabarits"
"Themes","Thèmes"
"This category and its child categories","Cette catégorie et ses catégories filles"
"This category and its products","Cette catégorie et ses produits"
"This category only","Cette catégorie seulement"
"This is a required field.","Ce champ est obligatoire."
"This Store cannot be deleted","Ce magasin ne peut pas être supprimé"
"This Store cannot be deleted.","Ce magasin ne peut pas être supprimé."
"This Store View cannot be deleted","Cette vue magasin ne peut pas être supprimée"
"This Store View cannot be deleted.","Cette vue magasin ne peut pas être supprimée."
"This Website cannot be deleted","Ce site web ne peut pas être supprimé"
"This Website cannot be deleted.","Ce site web ne peut pas être supprimé."
"Thumbnail","Vignette - "
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Translate cache should be disabled for both Frontend and Admin inline translations","Le cache de traductions doit être désactivé pour utiliser les traductions en ligne du frontend et de l'admin"
"Translate Inline","Traduction en ligne"
"Translations","Traductions"
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Unable to delete Store View. Please, try again later.","Impossible d'effacer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete Store. Please, try again later.","Impossible d'effacer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete Website. Please, try again later.","Impossible d'effacer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Non sécurisé"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur le frontend"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Var (temporary files) directory","Répertoire var (fichiers temporaires)"
"Web","Web"
"Website","Site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website not exists","Le site web n'existe pas"
"Website was successfully deleted.","Le site web a bien été supprimé"
"Website was successfully saved","Le site web a bien été sauvegardé"
"Website with the same code","Site web avec le même code"
"Welcome Text","Texte d'accueil"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Your session has been expired, you will be relogged in now.","Votre session a expiré, vous allez maintenant être reconnecté."
