"* Required Fields","* Champs obligatoires"
"Customer","Client"
"Customer Addresses","Adresses client"
"Customer collection expected","Collection de clients attendue"
"Customer Configuration","Configuration client"
"Customer doesn't have primary billing address","Le client n'a pas d'adresse de facturation principale"
"Customer email already exists","Le mail du client existe déjà"
"Customer Group","Groupe de clients"
"Customer Group was successfully deleted","Groupe de client supprimé avec succès"
"Customer Group was successfully saved","Le groupe de client a été sauvegardé avec succès"
"Customer Groups","Groupes clients"
"Customer Information","Informations client"
"Customer Login","Identifiant client"
"Customer Since","Client depuis le"
"Customer View","Vue client"
"Customers","Clients"
"Customers Only","Clients seulement"
"Date","Date"
"Date Added","Date d'ajout"
"Days in Wishlist","Jours dans la liste d'envies"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de mail par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Delete","Supprimer"
"Delete Address","Effacer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de clients"
"Deleted Stores","Magasins effacés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Account Information","Modifier les informations du compte"
"Edit Address","Modifier l'adresse"
"Edit Address Entry","Modifier la saisie d'adresse"
"Edit Customer Group ""%s""","Éditer le groupe clients ""%s"""
"Edit Customer Groups","Éditer les groupes de client"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Modifier le groupe"
"Edit Newsletter Subscription","Modifier l'abonnement à la newsletter"
"Edit Newsletters","Éditer les newsletters"
"Edit Personal Information","Modifier les informations personnelles"
"Email","Mail"
"Email Address","Adresse mail"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Entity collection is expected","Une collection d'entités est attendue"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Ext. Price","Supplément"
"Fax","Fax"
"First Name","Prénom"
"Forgot Email Sender","Expéditeur du mail d'oubli"
"Forgot Email Template","Gabarit du mail d'oubli"
"Forgot Your Password?","Mot de passe oublié ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dans votre tableau de bord 'Mon compte', vous pouvez avoir un aperçu de votre activité récente et mettre à jour vos informations de comptes. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"General Subscription","Souscription générale"
"Global","Global"
"Go to Address Book","Aller au carnet d'adresses"
"Grand Total","Total"
"Grand Total: %s","Montant global : <strong>%s</strong>"
"Group","Groupe"
"Group ""%s"" can not be deleted","Le groupe ""%s"" ne peut pas être effacé"
"Group Information","Informations du groupe"
"Group Name","Nom de groupe"
"Guest","Invité"
"Hello, %s!","Bonjour, %s !"
"HTML","HTML"
"ID","ID"
"If you have an account with us, please log in.","Si vous avez un compte, veuillez vous identifier."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid current password","Mot de passe actuel non valide"
"Invalid customer data","Données client non valides"
"Invalid email address","Adresse email non valide"
"Invalid login or password.","Identifiant ou mot de passe non valide."
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"IP Address","Adresse IP"
"Items Order","Ordre des articles"
"Last 5 Orders","5 dernières commandes"
"Last Activity","Dernière activité"
"Last date subscribed","Dernière date d'abonnement"
"Last date unsubscribed","Dernière date de désinscription"
"Last Name","Nom de famille"
"Last Url","Dernière url"
"Last Viewed Items","Derniers articles vus"
"Lifetime Sales","Ventes depuis le début"
"Log In","Connexion"
"Log Out","Déconnexion"
"Login","Se connecter"
"Login and password are required","Identifiant et mot de passe obligatoires"
"Login Information","Informations de connexion"
"Log in or Create an Account","Identifiez-vous ou créez un compte"
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les clients"
"Missing email, skipping the record","Email manquant, enregistrement ignoré"
"Missing firstname, skipping the record","Prénom manquant, enregistrement ignoré"
"Missing lastname, skipping the record","Nom de famille manquant, enregistrement ignoré"
"My Account","Mon compte"
"My Dashboard","Mon tableau de bord"
"My Orders","Mes commandes"
"My Reviews","Mes commentaires"
"My Tags","Mes tags"
"My Wishlist","Ma liste d'envies"
"n/a","n/a"
"Name","Nom (usage interne)"
"Need to Confirm","Confirmation nécessaire"
"Never","Jamais"
"New account","Nouveau compte"
"New Address","Nouvelle adresse"
"New Address Entry","Saisie d'une nouvelle adresse"
"New Customer","Nouveau client"
"New Customer Address","Nouvelle adresse client"
"New Customer Group","Nouveau groupe de clients"
"New Customer Groups","Nouveau groupe de clients"
"New Customers","Nouveaux clients"
"New Group","Nouveau groupe"
"New passowrd","Nouveau mot de passe"
"New Password","Nouveau mot de passe"
"Newsletter","Newsletter"
"Newsletter Finish","Fin de la newsletter"
"Newsletter Information","Information newsletter"
"Newsletter Received","Newsletter reçue"
"Newsletter Start","Début de la newsletter"
"Newsletter Subscriptions","Abonnements à la newsletter"
"Newsletters","Newsletters"
"No Items Found","Aucun article trouvé"
"No Newsletter Found","Pas de newsletter"
"No product collections found","Aucune collection de produits trouvée"
"Not Sent","Pas envoyé"
"Offline","Déconnecté"
"Online","En ligne"
"Online Customers","Clients en ligne"
"or","ou"
"Order #","N° de commande"
"Order #%s (%s)","Commande n°%s (%s)"
"Order List...","Liste de commandes..."
"Order Total","Total commande"
"Orders","Commandes"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit comporter au moins 6 caractères. Les espaces en début et fin seront ignorés."
"Password Options","Options de mot de passe"
"Pasword fields can\'t be empty.","Les champs mot de passe ne peuvent pas être vides."
"Paused","Arrêté"
"Payment Method","Mode de paiement"
"PDF","PDF"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter your email below and we'll send you a new password.","Veuillez saisir votre email ci-dessous et nous vous enverrons un nouveau mot de passe."
"Please enter your email.","Veuillez saisir votre email."
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Please select","Veuillez sélectionner"
"Please select region, state or province","Veuillez sélectionner une région"
"Price","Prix"
"Primary Billing Address","Adresse de facturation principale"
"Primary Shipping Address","Adresse de livraison principale"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur : %s"
"Product","Produit"
"Product ID","ID produit"
"Product name","Nom du produit"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Tags","Tags de produits"
"Purchase On","Commande passée le"
"Purchased at","Acheté le"
"Qty","Quantité"
"Recent Orders","Dernières commandes"
"Records for ""","Enregistrements pour """
"Refunded","Remboursé"
"Registered Customers","Clients enregistrés"
"Remove","Retirer"
"Retrieve your password here","Récupérez votre mot de passe ici"
"Sales Statistics","Statistiques de vente"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Saved ","Sauvegardé"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Send welcome email","Envoyer un mail de bienvenue"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes client"
"Ship to First name","Prénom (Livr.)"
"Ship to Last name","Nom de famille (Livr.)"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Sign up for our newsletter","Abonnez-vous à la newsletter"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini"
"Skip import row, website ""%s"" field not exists","Ligne ignorée, le champ du site web ""%s"" n'existe pas"
"SKU","SKU"
"State/Province","Région"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Voie"
"Street Address 2","Complément d'adresse"
"Subject","Sujet"
"Submit","Valider"
"Subscribe","Inscrivez-vous"
"Subscribe to newsletter","Abonner à la newsletter"
"Subscribed to Newsletter?","Abonné à la newsletter ?"
"Tag Name","Nom du tag"
"Tax class","Classe de TVA"
"Tax Class","Classe de TVA"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"Thank you for registering with %s","Merci de votre inscription sur %s"
"The address does not belong to this customer","L'adresse n'appartient pas à ce client"
"The address was successfully deleted","L'adresse a été effacée"
"The address was successfully saved","L'adresse a été sauvegardée"
"There are no items in customer's shopping cart at the moment","Il n'y a pas d'article dans le panier du client"
"There are no items in customer's wishlist at the moment","Il n'y a pas d'article dans la liste d'envies du client"
"There are no items in customer\'s shopping cart at the moment","Il n'y a pas d\'article dans le panier du client"
"There was an error while deleting the address","La suppression de l'adresse a échoué"
"This customer has no saved addresses.","Le client n\'a pas d\'adresse sauvegardée"
"This email address was not found in our records","Cette adresse mail n'a pas été trouvée dans nos enregistrements"
"This is My Primary %s Address","Ceci est mon adresse principale de <strong>%s</strong>"
"To Cart","Vers le panier"
"Total","Total"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from newsletter","Désabonner de la newsletter"
"Update","Mettre à jour"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"Use as My Primary %s Address","Utiliser comme adresse <strong>%s</strong> principale"
"User description","Description utilisateur"
"View","Voir"
"View Order","Voir la commande"
"View Order List","Consulter la liste des commandes"
"Visible In","Visible dans"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Wishlist","Liste d'envies"
"Wishlist - %d item(s)","Liste d'envies - %d article(s)"
"Wrong region id by selected country","Identifiant de région erroné pour le pays sélectionné"
"XML","XML"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently not subscribed to our newsletter","Vous n'êtes pas encore abonné(e) à notre newsletter"
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter","Vous êtes actuellement abonné(e) à notre newsletter"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre newsletter"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) avec succès et vous allez être redirigé(e) vers notre page d'accueil dans 5 secondes."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have no primary entries in your address book.","Vous n'avez pas d'entrée principale dans votre carnet d'adresse"
"You have not set a primary billing address.","Vous n'avez pas spécifié d'adresse de facturation principale"
"You have not set a primary shipping address.","Vous n'avez pas spécifié d'adresse de livraison principale"
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You're now Logged Out","Vous êtes maintenant déconnecté."
"Your account balance is: %s","Le solde de votre compte est de : <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"ZIP/Postal Code","Code postal"
"Zip/Postal Code","Code postal"
