"%1$s incl tax.","%1$s incl tax."
"There are no %s available.","Aucun(e) %s disponible"
"No product collections found","Aucune collection de produits trouvée"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"Availability","Availability"
"Failed","Échec"
"Globally Editable","Éditable globalement"
"Edit","Éditer"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search '%s'","Éditer la recherche '%s'"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"Out of stock.","Épuisé"
"Stretch","Étirer"
"Based On","Basé sur"
"Invalid block: %s","Bloc non valide : %s"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Block after Info Column","Block after Info Column"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"cache refresh needed","cache refresh needed"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Can't create image.","Can't create image."
"Catalog Section","Catalog Section"
"Catalog","Catalogue"
"Catalog, Search","Catalogue, Recherche"
"Category","Catégorie"
"Parent Category","Catégorie parente"
"Category saved","Catégorie sauvegardée"
"Category deleted","Catégorie supprimée"
"Categories","Catégories"
"Product Categories","Catégories du produit"
"categories","categories"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This attribute no longer exists","Cette attribut n'existe plus"
"This search no longer exists","Cette recherche n'existe plus"
"Text Field","Champ texte"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Check items to add to the cart or","Check items to add to the cart or"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Choose an Option...","Choisissez une option..."
"Choose option...","Choisissez une option..."
"Clear All","Clear All"
"Customers Reviews","Clients ayant commenté"
"Customers Tagged Product","Clients ayant taggé ce produit"
"Please click on Close Window button if it won't be closed automatically","Cliquez sur le bouton de fermeture de fenêtre si celle-ci ne se ferme pas automatiquement."
"Attribute Code","Code attribut"
"Collapse All","Collapse All"
"Product collection expected","Collection de produits attendue"
"Conditions Combination","Combinaison de conditions "
"comma separated","comma separated"
"Backorders","Commande en rupture de stock"
"Review was saved successfully","Commentaire sauvegardé avec succès"
"Review was successfully saved","Commentaire sauvegardé avec succès"
"Review successfully deleted","Commentaire supprimé avec succès"
"Reviews","Commentaires"
"Product Reviews","Commentaires du produit"
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur le front-office"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products","Comparer des produits"
"Compare Products List","Comparer la liste des produits"
"Compare Items","Comparer les articles"
"Compare Products - %d Items","Comparer les produits <span class=""count"">- %d articles</span>"
"Super product attributes configuration","Configuration des attributs du super produit"
"Continue","Continuer"
"Options Control","Contrôle des options"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Country/State"
"Quick Create","Création rapide"
"Quick simple product creation","Création rapide de produit simple"
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create Empty","Créer vide"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create new category","Create new category"
"Create new product","Create new product"
"Custom Options","Custom Options"
"Date","Date"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Date fields order","Date fields order"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Set Root Category For Store","Définir la catégorie root pour le magasin"
"Disabled","Désactivé"
"unselect all","désélectionnez tout"
"Delete category","Delete category"
"Delete product","Delete product"
"Delete Row","Delete Row"
"Depends on design theme","Depends on design theme"
"Last Notification","Dernière notification"
"Product Description","Description du produit"
"Quick Overview","Description rapide"
"Design","Design"
"Custom Design","Design personnalisé"
"Availability: Out of stock.","Disponibilité : épuisé."
"Availability: In stock.","Disponibilité : en stock."
"Stock Availability","Disponibilité en stock"
"Category Data","Données de catégorie"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Duplicate","Dupliquer"
"each","each"
"Email","Email"
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Pending","En attente"
"Are you sure?","En êtes-vous sûr ?"
"Bottom/Right","En bas à droite"
"Bottom/Left","En bas à gauche"
"Top/Right","En haut à droite"
"Top/Left","En haut à gauche"
"Learn More","En savoir plus"
"In Stock","En stock"
"In stock","En stock"
"Records for ""","Enregistrements pour """
"Integer","Entier"
"Email to a Friend","Envoyer à un ami"
"Category move error","Erreur de déplacement de catégorie"
"Category delete error","Erreur de suppression de catégorie"
"Error while adding customers for %s alert. Message: %s","Erreur lors de l'ajout de clients pour l'alerte %s. Message: %s"
"There was an error while adding products to websites","Erreur lors de l'ajout des produits aux sites web"
"There was an error while updating product(s) attributes","Erreur lors de la mise à jour des attributs de produits"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Product saving error.","Erreur lors de la sauvegarde du produit."
"There was an error while removing products from websites","Erreur lors de la suppression des produits des sites web"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Error while saving this group. Please try again later.","Erreur pendant la sauvegarde de ce groupe. Veuillez réessayer ultérieurement."
"Error while saving this group. Group with the same name already exists.","Erreur pendant la sauvegarde de de groupe. Un groupe avec le même nom existe déjà."
"and","et"
"and above","et plus"
"Exclude","Exclure"
"Expand All","Expand All"
"Close Window","Fermer la fenêtre"
"Image file not found","Fichier image introuvable"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Watermark","Filigrane"
"Product Image Watermarks","Filigranes d'images de produits"
"Filterable (with results)","Filtrable (avec résultats)"
"Filterable (no results)","Filtrable (pas de résultats)"
"Browse By","Filtrer par"
"Shop by","Filtrer par"
"Fixed","Fixé"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"Notify Low Stock RSS","Flux RSS de notification de stock"
"Pending Reviews RSS","Flux RSS des commentaires en attente"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Frontend"
"Gallery","Galerie"
"Autogenerate","Générer automatiquement"
"Manage Attributes","Gérer les attributs"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Categories","Gérer les catégories"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Product Sets","Gérer les ensembles de produits"
"Manage Attribute Sets","Gérer les groupes d'attributs"
"Manage Label / Options","Gérer les labels/les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Products","Gérer les produits"
"Manage Titles (Size, Color, etc.)","Gérer les titres (Taille, couleur, etc.)"
"Url Rewrite Management","Gestion de la réécriture d'URL"
"Get special price","Get special price"
"Global","Global"
"Grid","Grille"
"Attribute Set","Groupe d'attributs"
"Customer Group","Groupe de clients"
"Groups","Groupes"
"ID","ID"
"ID: %s","ID: %s"
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid category IDs","Identifiants de catégorie non valides"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"Image","Image"
"Media Image","Image"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image not specified.","Image not specified."
"Unable to get product id.","Impossible d'obtenir l'id produit"
"Unable to complete request. Please try again later.","Impossible de terminer la requête. Veuillez réessayer ultérieurement"
"Unable to find an attribute to delete","Impossible de trouver un attribut à supprimer"
"Unable to find a search term to delete","Impossible de trouver un terme de recherche à effacer"
"Print This Page","Imprimer cette page"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Attribute Information","Informations attributs"
"Additional Information","Informations complémentaires"
"Search Information","Informations de recherche"
"General Information","Informations générales"
"Product Information","Informations produit"
"Products Information","Informations produits"
"Input Type","Input Type"
"Invalid attribute %s","Invalid attribute %s"
"Invalid category","Invalid category"
"Invalid image type.","Invalid image type."
"Invalid Tier Prices","Invalid Tier Prices"
"Inventory","Inventaire"
"Is Required","Is Required"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Image not exists","L'image n'existe pas"
"Compare list successfully cleared","La liste de comparaison a bien été effacée"
"Qty Uses Decimals","La quantité utilise des décimales"
"Filter must be as object. Set correct filter please","Le filtre doit être un objet. Veuillez utiliser un filtre correct"
"Filter model name must be declared","Le nom du modèle de filtre doit être déclaré"
"Duplicate website tier price customer group and quantity.","Le prix par palier pour ce site web, ce groupe client et cette quantité existe déjà."
"Product %s successfully added to compare list","Le produit %s a été ajouté à la liste de comparaison"
"Product %s successfully removed from compare list","Le produit %s a bien été supprimé de la liste de comparaison"
"Product was successfully created.","Le produit a bien été créé."
"Product was successfully saved.","Le produit a bien été sauvegardé."
"Base directory to upload image file is not specified","Le répertoire de base pour télécharger les images n'est pas spécifié"
"Search Term was successfully saved","Le terme de recherche a bien été sauvegardé"
"Image type and information need to be specified for each store view.","Le type et les informations d'image doivent être spécifiés pour chaque vue magasin."
"leave blank if its not an image","leave blank if its not an image"
"Length of text is too long","Length of text is too long"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Customers for alert %s was successfuly added to queue","Les clients ont bien été ajoutés à la file de l'alerte %s."
"Filters must be as array","Les filtres doivent être des tableaux"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Letters","Lettres"
"Letters(a-zA-Z) or Numbers(0-9)","Lettres (a-zA-Z) ou chiffres (0-9)"
"Label","Libellé"
"Attribute Label","Libellé attribut"
"Line %d, Email: %s","Ligne %d, Email : %s"
"Line %d, SKU: %s","Ligne %d, Réf. : %s"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Skip import row, store ""%s"" field not exists","Ligne ignorée, le champ ""%s"" du magasin n'existe pas"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini"
"Skip import row, required field ""%s"" for new customer not defined","Ligne ignorée, le champ obligatoire ""%s"" pour un nouveau client n'est pas défini"
"Skip import row, required field ""%s"" for new products not defined","Ligne ignorée, le champ obligatoire ""%s"" pour un nouveau produit n'est pas défini"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Liste"
"Dropdown","Liste déroulante"
"Store","Magasin"
"Invalid store specified","Magasin spécifié non valide"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Manage Stock","Manage Stock"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum image height","Maximum image height"
"Maximum Image Size","Maximum Image Size"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Best Value","Meilleure affaire"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Attribute Model","Modèle d'attribut"
"Attribute model not defined","Modèle d'attribut non défini "
"Frontend Model","Modèle du front office"
"Backend Model","Modèle pour le back office"
"Source Model","Modèle source"
"List Mode","Mode liste"
"Change","Modifier"
"Edit Search","Modifier la recherche"
"Change status","Modifier le statut"
"Update attributes","Modifier les attributs"
"Tile","Mosaïque"
"Move","Move"
"Move category in tree","Move category in tree"
"must be in the allowed values list","must be in the allowed values list"
"Category Navigation:","Navigation dans la catégorie :"
"# of Use","Nb d'utilisations"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Name","Nom"
"Name<br/>(For internal use)","Nom (usage interne)"
"Last Name","Nom de famille"
"Attribute Name:","Nom de l'attribut :"
"Set Name","Nom du groupe"
"Attrib. Set Name","Nom du groupe d'attributs"
"Product Name","Nom du produit"
"Tag Name","Nom du tag"
"Name In %s","Nom en %s"
"Send Count","Nombre d'envois"
"Number of Uses","Nombre d'utilisations"
"Decimal Number","Nombre décimal"
"Number of results<br/>(For last time placed)","Nombre de résultats<br/>(Depuis la dernière fois)"
"Integer Number","Nombre entier"
"Products per Page on Grid default value","Nombre par défaut d'articles par page en vue grille"
"Products per Page on List default value","Nombre par défaut d'articles par page en vue liste"
"No","Non"
"Not shared with other products","Non partagé avec les autres produits"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Add New Group","Nouveau groupe"
"Add New Attribute Set","Nouveau groupe d'attributs"
"New Set Name","Nouveau nom de groupe"
"New Product","Nouveau produit"
"New Products","Nouveaux produits"
"Add New Attribute","Nouvel attribut"
"New Product Attribute","Nouvel attribut produit"
"New Category","Nouvelle catégorie"
"New Search","Nouvelle recherche"
"Add New Images","Nouvelles images"
"Nowhere","Nulle part"
"Required","Obligatoire"
"Values Required","Obligatoire"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Option:","Option :"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Sort Order","Ordre de tri"
"OR","OU"
"Yes","Oui"
"Yes/No","Oui/Non"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Page:","Page :"
"ex. http://domain.com","Par ex : http://domaine.com"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"per page","par page"
"Settings","Paramètres"
"Configurable Product Settings","Paramètres produit configurable"
"No image","Pas d'image"
"No layout updates","Pas de modification de l'agencement"
"Categories Sitemap","Plan de site des catégories"
"Products Sitemap","Plan de site des produits"
"Site Map","Plan du site"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"More Views","Plus de vues"
"PM","PM"
"Scope","Portée"
"Catalog Price Scope","Portée des prix catalogue"
"Position","Position"
"Position In Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Watermark Position","Positionnement du filigrane"
"Percentage","Pourcentage"
"Prev","Précédent"
"Previous","Précédent"
"First Name","Prénom"
"Price Type","Price Type"
"Price","Prix"
"Price:","Prix :"
"Regular Price:","Prix normal :"
"Default price","Prix par défaut"
"Special Price:","Prix promotionnel :"
"As low as:","Prix spécial :"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur : %s"
"Product","Product"
"Product API","Product API"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product has required options","Product has required options"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product Info Column","Product Info Column"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error. ","Product saving error. "
"Product Tier Price API","Product Tier Price API"
"Product types API","Product types API"
"Product URL Suffix","Product URL Suffix"
"products","products"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Configurable Product","Produit configurable"
"Product In Websites","Produit dans les sites web"
"Product duplicated","Produit dupliqué"
"Grouped Product","Produit groupé"
"Simple Product","Produit simple"
"Product deleted","Produit supprimé"
"Products","Produits"
"Related Products","Produits apparentés"
"Associated Products","Produits associés"
"Products Reviews","Produits commentés"
"Category Products","Produits de la catégorie"
"Feature Products","Produits sélectionnés"
"Products only","Produits seulement"
"Properties","Propriétés"
"Attribute Properties","Propriétés de l'attribut"
"Frontend Properties","Propriétés du front-office"
"System Properties","Propriétés système"
"px.","px."
"Default Qty","Qté par défaut"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Qty","Quantité"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Item's Status to be Out of Stock","Quantité mini pour que le produit soit considéré comme épuisé"
"Root","Racine"
"SKU","Réf."
"Missing SKU, skipping the record","Référence produit manquante, enregistrement ignoré"
"Reset","Réinitialiser"
"Results","Résultats"
"Search","Recherche"
"Search was successfully deleted","Recherche supprimée avec succès"
"Redirect","Rediriger"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove Product","Retirer le produit"
"Back","Retour"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Subscribe to Feed","S'abonner au flux"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Apply To","S'applique à"
"Saved ","Sauvegardé"
"Save","Sauvegarder"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Save Attribute","Sauvegarder l'attribut"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Save Attribute Set","Sauvegarder le groupe d'attributs"
"save","save"
"Multiple Select","Sélection multiple"
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Please select product(s)","Sélectionnez le(s) produit(s)"
"Please select products for attributes update","Sélectionnez les produits pour la mise à jour des attributs"
"select all","sélectionnez tout"
"Please select static block ...","Sélectionnez un bloc statique ..."
"Please select one or more attributes.","Sélectionnez un ou plusieurs attributs"
"Page Title Separator","Séparateur de titre de page"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected configuration is not available.","Selected configuration is not available."
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Website","Site web"
"Sitemap","Sitemap"
"Websites","Sites web"
"Static","Statique"
"Status","Statut"
"Next","Suivant"
"Delete","Supprimer"
"Remove","Supprimer"
"Delete Category","Supprimer cette catégorie"
"Delete Attribute","Supprimer l'attribut"
"Delete Option","Supprimer l'option"
"Delete Search","Supprimer la recherche"
"Remove This Item","Supprimer le filtre"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Remove Product From Websites","Supprimer le produit des sites web"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Synonym For","Synonyme de"
"Synonym for","Synonyme de"
"System","Système"
"Backend Table","Table de back office"
"Product Tags","Tags du produit"
"Watermark Default Size","Taille par défaut du filigrane"
"Tier Pricing","Tarification par palier"
"Tax","Tax"
"Search Query","Termes de recherche"
"Text","Texte"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This is a required option","This is a required option"
"Time format","Time format"
"Title","Title"
"Backend Table Title","Titre de table de back office"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total Qty Base Items","Total Qty Base Items"
"All","Tous"
"ALL GROUPS","TOUS LES GROUPES"
"All Product Types","Tous les types de produit"
"Clear All Items","Tout supprimer"
"Sort by","Trier par"
"Type","Type"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Invalid image file type","Type de fichier image non valide"
"Invalid product type specified, skipping the record","Type de produit spécifié non valide, enregistrement ignoré"
"Product Type","Type du produit"
"Selected Product Types","Types de produit sélectionnés"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"A name is required","Un nom est requis"
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Search Term with such search query already exist.","Un terme de recherche existe déjà avec cette requête"
"Update","Update"
"Update assigned product","Update assigned product"
"Update Attributes","Update Attributes"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update Tier Price","Update Tier Price"
"Upload new product image ","Upload new product image "
"Url","URL"
"Redirect URL","URL de redirection"
"Url rewrie save problem.","Url rewrie save problem."
"For internal use. Must be unique with no spaces","Usage interne. Doit être unique et sans espace"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Searchable","Utilisable dans la recherche"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser dans la navigation par filtres<br/>(Utilisable uniquement avec le type de saisie 'Liste déroulante')"
"Use in advanced search","Utiliser dans la recherche avancée"
"Use in quick search","Utiliser dans la recherche rapide"
"Use Default Value","Utiliser la valeur par défaut"
"Use categories path for product URLs","Utiliser le chemin de catégorie dans les URLs produit"
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Default value","Valeur par défaut"
"Is Default","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Default Values","Valeurs par défaut"
"Input Validation for Store Owner","Validation des données saisies"
"Varchar","Varchar"
"Cross-sells","Ventes croisées"
"Up-sells","Ventes incitatives"
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Empty","Vide"
"Virtual Product","Virtual Product"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Currently Shopping by","Votre sélection :"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You cannot edit this attribute","Vous ne pouvez pas éditer cet attribut"
"You cannot update this attribute","Vous ne pouvez pas mettre à jour cet attribut"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You cannot delete this attribute","Vous ne pouvez pas supprimer cet attribut"
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Store View","Vue magasin"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
