"* Required Fields","* Champs obligatoires"
"Default Shipping","Livraison par défaut"
"Discount Codes","Codes de remises"
"Display Cart Summary","Afficher le résumé du panier"
"Display item quantities","Afficher les quantités de l'article"
"Display number of items in cart","Afficher le nombre d'articles dans le panier"
"Easy access to your order history and status","Accès facile vers votre historique et statut de commandes"
"Edit","Modifier"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Items","Modifier les articles"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Edit Your Cart","Modifiez votre panier"
"Email Address","Adresse mail"
"Enter a New Address","Saisir une nouvelle adresse"
"Enter your coupon code if you have one.","Saisissez votre code de réduction"
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation de livraison"
"Estimate Shipping and Tax","Estimer la livraison et la TVA"
"Fast and easy check out","Passage de commande rapide et facile"
"Fax","Fax"
"First Name","Prénom"
"Forgot an Item?","Vous avez oublié un article ?"
"Forgot your password?","Mot de passe oublié ?"
"Get a Quote","Obtenir une estimation"
"Grand Total:","Montant global :"
"Grouped product image","Image de produit groupé"
"Invalid data","Données non valides"
"Invalid shipping method.","Méthode de livraison non valide"
"Items","Articles"
"Last Name","Nom de famille"
"Load customer quote error","Erreur lors du chargement du panier client"
"Loading next step...","Chargement en cours de l'étape suivante..."
"Login","Se connecter"
"Maximum qty allowed for Shipping to multiple addresses is %s","La quantité maxi autorisée pour la livraison à plusieurs adresses est %s"
"Move to Wishlist","Ajouter à la <br/>liste d'envies"
"My Account","Mon compte"
"My Cart","Mon panier"
"My Cart (%s item)","Mon panier (%s article)"
"My Cart (%s items)","Mon panier (%s articles)"
"My Cart Link","Lien vers mon panier"
"New Address","Nouvelle adresse"
"Order Review","Vérification de commande"
"Order Success","Confirmation"
"Password","Mot de passe"
"Payment Information","Informations de paiement"
"Payment Method","Mode de paiement"
"Payment method is not defined","Le mode de paiement n'est pas défini"
"Place Order","Validation"
"Please <a href=""%s"">continue shopping</a>.","Veuillez <a href=""%s"">poursuivre vos achats</a>."
"Please enter a coupon code.","Veuillez saisir un code de réduction."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 75010."
"Please log in below:","Veuillez vous identifier :"
"Please select region, state or province","Veuillez sélectionner une région"
"Please select shipping methods for all addresses","Veuillez sélectionner les modes de livraison pour toutes les adresses"
"Please specify the product option(s)","Veuillez spécifier la (les) option(s) de produit"
"Please specify the product(s) quantity","Veuillez spécifier la quantité des produits"
"Price","Prix"
"Proceed to Checkout","Passer la commande"
"Product","Produit"
"Product does not exist","Le produit n'existe pas"
"Product Name","Nom du produit"
"Qty","Quantité"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"Register","S'enregistrer"
"Register and save time!","Enregistrez-vous et gagnez du temps !"
"Register to Create an Account","Enregistrez-vous pour créer un compte"
"Register with us for future convenience:","Enregistrez-vous pour profiter des avantages :"
"Remove","Retirer"
"Remove Item","Retirer l'article"
"Remove Product","Retirer"
"Review Order","Vérifier la commande"
"Review Order - %s","Vérifier la commande - %s"
"Select a billing address from your address book or enter a new address.","Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""billing.newAddress(true); return false;"">nouvelle adresse</a>."
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>."
"Select Address","Sélectionner une adresse"
"Select Addresses","Choix des adresses"
"Select Shipping Method","Sélectionner le mode de livraison"
"Select State/Province...","Choisissez une région"
"Send to","Envoyer à"
"Ship to different address","Livrer à une autre adresse"
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Ship to this address","Livrer à cette adresse"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi"
"Shipping Methods","Modes de livraison"
"Shipping to","Livraison à :"
"Shopping Cart","Panier"
"Shopping Cart is Empty","Le panier est vide"
"Some of the products you requested are not available in the desired quantity","Certains produits que vous avez demandés ne sont plus disponibles dans la quantité souhaitée"
"Some of the products you requested are unavailable","Certains produits que vous avez demandés sont indisponibles"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation de cette commande n'est disponible pour le moment."
"State/Province","État/Région"
"Store Pickup","Retrait en magasin"
"Street Address","N° et voie"
"Street Address 2","Complément d'adresse"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Telephone","Téléphone"
"Thank you for your purchase!","Merci de votre achat !"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Il y a <a href=""%s""><strong>%s articles</strong></a> dans votre panier."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Il y a <a href=""%s""><strong>1 article</strong></a> dans votre panier."
"There is already a customer registered using this email address","Il existe déjà un client enregistré avec cette adresse mail"
"There was an error processing your order. Please contact us or try agian later.","Une erreur est survenue lors du traitement de votre commande. Veuillez nous contacter ou réessayer plus tard."
"Total for this address","Total pour cette adresse"
"Unit Price","Prix unitaire"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Use Billing Address","Utiliser l'adresse de facturation"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera envoyée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison."
"You have no items in your cart.","Vous n'avez pas d'article dans votre panier."
"You have no items in your shopping cart.","Vous n'avez pas d'article dans votre panier"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un mail de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement."
"Your Checkout Progress","Avancement de votre commande"
"Your order # is: %s","Votre n° de commande est : %s"
"Your order has been received","Votre commande a été reçue"
"Your order number is %s","Votre n° de commande est : %s"
"Zip/Postal Code","Code postal"
